air_store_id,Model_No.,Selected_Model,Training_R2,Testing_R2,RMSLE
air_68147db09287bf74,model_4,"ARIMA(1,0,0)(2,1,0)[7] with drift",0.585957457,0.786167338,0.511547583
air_9e920b758503ef54,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.550976958,0.461524213,0.511652412
air_4b251b9f8373f1ae,model_5,"Regression with ARIMA(0,0,0) errors",0.886683698,0.929767469,0.51227275
air_ca6ae8d49a2f1eaf,model_5,"Regression with ARIMA(0,1,1) errors",0.31855226,0.358444737,0.512689146
air_f957c6d6467d4d90,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.149128941,0.404476718,0.513483692
air_034a3d5b40d5b1b1,model_4,"ARIMA(1,1,1)(0,0,2)[7]",0.373981262,0.000815183,0.513981836
air_cb25551c4cd8d9f3,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.628001498,0.636567434,0.514453404
air_f6bfd27e2e174d16,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.724496963,0.717417245,0.514940109
air_1f7f8fa557bc0d55,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.512768799,0.377110405,0.515141443
air_51319e7acf0438cf,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.831900872,0.761759661,0.515872901
air_901925b628677c2e,model_5,"Regression with ARIMA(0,0,0) errors",0.460533123,0.425792429,0.515891393
air_1c95a84924d72500,model_5,"Regression with ARIMA(0,1,1)(2,0,1)[7] errors",0.570766835,0.553867244,0.51664122
air_399904bdb7685ca0,model_5,"Regression with ARIMA(0,1,1)(1,0,0)[7] errors",0.562946348,0.692945275,0.516762824
air_ea7c16131980c837,model_5,"Regression with ARIMA(0,1,1)(2,0,0)[7] errors",0.770967653,0.613826899,0.517479487
air_fef9ccb3ba0da2f7,model_5,"Regression with ARIMA(1,1,2) errors",0.800028751,0.669364331,0.5181396
air_0b9038300f8b2b50,model_5,"Regression with ARIMA(0,0,0) errors",0.507984142,0.21858862,0.518769697
air_31c753b48a657b6c,model_5,"Regression with ARIMA(0,0,0) errors",0.846235475,0.833504041,0.519174156
air_0328696196e46f18,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.844541626,0.819854283,0.519431634
air_6836438b543ba698,model_5,"Regression with ARIMA(0,1,1) errors",0.704505667,0.445130472,0.519627909
air_324f7c39a8410e7c,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.666047263,0.616420436,0.520042748
air_e42bdc3377d1eee7,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.955759194,0.84503832,0.52193922
air_0f0cdeee6c9bf3d7,model_5,"Regression with ARIMA(0,0,0)(0,0,1)[7] errors",0.844404612,0.803720785,0.522974336
air_08ef81d5b7a0d13f,model_5,"Regression with ARIMA(0,0,0) errors",0.801197806,0.814999351,0.523056452
